customer_id,age,gender,income,monthly_spending,transaction_count,days_since_last_transaction,savings_rate,loan_balance,credit_score,num_accounts,segment,주거래은행,여신잔액_만원,수신잔액_만원,카드실적_만원,외환거래_달러,펀드잔액_만원
C019,52,F,18500000,6900000,57,1,0.47,27000000,968,8,VIP,KB국민,2700,7200,660,14500,10500
C020,50,M,16500000,5900000,51,2,0.44,18000000,945,7,VIP,KB국민,1800,6000,570,11000,8000
C021,28,F,3800000,1900000,18,10,0.2,5000000,680,2,일반,신한,500,600,160,300,200
C022,32,M,4500000,2200000,22,8,0.25,8000000,720,3,일반,KB국민,800,850,190,450,350
C023,35,F,5000000,2500000,20,12,0.22,6000000,710,3,일반,하나,600,720,210,200,280
C024,29,M,3500000,1700000,16,15,0.18,4000000,665,2,일반,우리,400,520,145,150,180
C025,40,F,6000000,2900000,25,7,0.28,10000000,755,4,일반,신한,1000,1100,250,600,480
C026,33,M,4800000,2300000,21,9,0.24,7000000,730,3,일반,KB국민,700,780,200,380,300
C027,38,F,5500000,2700000,24,11,0.27,9000000,745,4,일반,하나,900,980,235,500,420
C028,31,M,4200000,2000000,19,14,0.21,5500000,695,3,일반,우리,550,640,175,180,220
C029,45,F,6200000,3000000,26,6,0.29,11000000,760,4,일반,신한,1100,1200,265,700,520
C030,27,M,3200000,1600000,15,18,0.17,3500000,655,2,일반,NH농협,350,450,130,100,120
C031,36,F,5200000,2500000,22,10,0.23,7500000,725,3,일반,하나,750,820,205,380,310
C032,42,M,5800000,2800000,24,8,0.26,9500000,748,4,일반,우리,950,1050,245,480,400
C033,30,F,4000000,1950000,18,13,0.19,4800000,685,2,일반,NH농협,480,560,165,150,190
C034,48,M,6500000,3100000,27,5,0.3,12000000,770,5,일반,하나,1200,1350,280,800,580
C035,34,F,4600000,2200000,20,11,0.22,6500000,715,3,일반,NH농협,650,700,185,280,240
C036,39,M,5400000,2600000,23,9,0.25,8500000,735,4,일반,NH농협,850,920,225,350,380
C037,26,F,3000000,1500000,14,20,0.16,3000000,645,2,일반,신한,300,420,125,80,100
C038,43,M,6000000,2900000,25,7,0.27,10500000,752,4,일반,우리,1050,1150,255,550,440
C039,37,F,5100000,2450000,21,12,0.22,7200000,720,3,일반,하나,720,800,208,320,290
C040,50,M,6800000,3200000,28,4,0.31,13000000,778,5,일반,우리,1300,1450,295,900,630
C041,32,F,4300000,2100000,20,13,0.21,5800000,700,3,일반,우리,580,660,178,200,210
C042,46,M,6300000,3050000,26,6,0.28,11500000,762,4,일반,KB국민,1150,1250,270,650,500
C043,28,F,3600000,1800000,17,16,0.18,4200000,670,2,일반,NH농협,420,500,150,130,160
C044,41,M,5700000,2750000,23,8,0.26,9200000,742,4,일반,하나,920,1000,240,460,390
C045,35,F,4900000,2350000,21,11,0.24,7000000,728,3,일반,신한,700,780,200,350,280
C046,28,F,3200000,950000,14,8,0.42,2000000,750,3,절약형,NH농협,200,1200,85,50,500
C047,35,M,4500000,1300000,18,10,0.48,4000000,790,4,절약형,NH농협,400,1800,120,80,750
C048,42,F,5000000,1500000,16,12,0.45,5000000,810,4,절약형,우리,500,2100,138,100,900
C049,30,M,3800000,1100000,15,9,0.44,3000000,780,3,절약형,NH농협,300,1500,100,60,620
C050,38,F,4800000,1400000,17,11,0.47,4500000,800,4,절약형,우리,450,2000,130,90,850
C051,25,M,2800000,850000,12,15,0.4,1500000,730,2,절약형,NH농협,150,950,78,30,380
C052,45,F,5200000,1600000,19,8,0.49,5500000,825,5,절약형,하나,550,2400,148,120,1050
C053,32,M,4000000,1200000,15,12,0.43,3500000,775,3,절약형,NH농협,350,1600,112,70,680
C054,50,F,5500000,1700000,20,7,0.51,6000000,835,5,절약형,하나,600,2600,158,130,1150
C055,27,M,3000000,920000,13,14,0.41,2500000,740,2,절약형,NH농협,250,1100,84,40,440
C056,40,F,4600000,1350000,17,10,0.46,4200000,795,4,절약형,우리,420,1900,125,85,800
C057,33,M,4200000,1250000,16,11,0.45,3800000,785,3,절약형,하나,380,1700,115,75,720
C058,48,F,5300000,1620000,19,8,0.5,5800000,828,5,절약형,하나,580,2500,152,125,1100
C059,26,M,2900000,880000,12,16,0.4,1800000,735,2,절약형,NH농협,180,1050,80,35,400
C060,54,F,5800000,1750000,20,6,0.52,6500000,845,5,절약형,우리,650,2800,165,140,1250
C061,31,M,3700000,1080000,14,13,0.42,3200000,768,3,절약형,NH농협,320,1400,98,55,560
C062,43,F,4900000,1450000,18,9,0.47,4800000,805,4,절약형,하나,480,2100,135,95,880
C063,36,M,4300000,1280000,16,12,0.44,3900000,782,3,절약형,NH농협,390,1750,118,72,730
C064,29,F,3400000,1020000,14,14,0.43,2800000,758,3,절약형,NH농협,280,1300,92,45,520
C065,52,M,5600000,1680000,20,7,0.51,6200000,838,5,절약형,하나,620,2700,160,135,1200
C066,22,M,2200000,450000,3,75,0.12,1000000,520,1,비활성,하나,100,80,35,0,0
C067,35,F,3500000,1200000,4,60,0.18,3000000,610,2,비활성,우리,300,250,95,50,80
C068,48,M,4000000,900000,2,120,0.15,4500000,580,2,비활성,하나,450,180,72,0,0
C069,28,F,2500000,600000,3,90,0.1,1500000,535,1,비활성,우리,150,120,48,0,30
C070,55,M,4500000,1500000,5,45,0.2,5000000,650,2,비활성,NH농협,500,350,115,80,120
C071,32,F,3000000,750000,2,100,0.13,2000000,545,1,비활성,NH농협,200,150,58,0,40
C072,42,M,3800000,1000000,4,80,0.17,3500000,595,2,비활성,하나,350,220,78,30,60
C073,25,F,2200000,500000,2,110,0.1,800000,515,1,비활성,우리,80,70,38,0,0
C074,58,M,4200000,1300000,5,55,0.19,4800000,638,2,비활성,하나,480,300,102,50,90
C075,30,F,2800000,700000,3,85,0.14,1800000,558,1,비활성,우리,180,130,52,0,25
C076,45,M,3600000,950000,3,95,0.16,3200000,572,2,비활성,하나,320,200,72,20,50
C077,38,F,3200000,850000,4,70,0.17,2500000,588,2,비활성,우리,250,180,65,10,35
C078,52,M,4300000,1200000,5,50,0.19,4600000,632,2,비활성,하나,460,280,95,40,75
C079,27,F,2400000,550000,2,130,0.11,1200000,525,1,비활성,우리,120,90,42,0,10
C080,40,M,3700000,1050000,4,65,0.18,3300000,600,2,비활성,NH농협,330,240,82,25,55
